nombre,edad,altura_cm,peso_kg,alcance_cm,splm,sapm,str_acc,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,imagen_url
Jason Day,44.917808219178085,182.88,83.91452,182.88,3.61,3.46,0.54,0.47,1.13,1.0,0.0,0.0,19,12,
Martin Day,37.43287671232877,177.8,65.77083999999999,185.42000000000002,3.97,3.79,0.45,0.53,0.72,0.6,0.65,0.5,8,6,
Angel De Anda,40.89041095890411,175.26,102.0582,0.0,5.68,6.32,0.46,0.47,0.0,0.0,0.0,0.0,18,6,
Yorgan De Castro,39.32876712328767,182.88,113.398,187.96,2.46,3.85,0.43,0.53,0.0,0.0,0.77,0.0,6,3,
Geraldo de Freitas,34.54520547945206,170.18,61.23492,182.88,3.67,2.62,0.52,0.5,3.0,0.45,0.59,0.0,12,6,
Philip De Fries,39.99178082191781,195.57999999999998,113.398,200.66,2.3,3.0,0.47,0.37,3.29,0.42,1.0,0.6,12,6,
Chris de la Rocha,46.93150684931507,190.5,113.398,203.2,4.08,6.37,0.45,0.43,2.02,0.3,0.33,1.0,5,3,
Montana De La Rosa,31.167123287671235,170.18,56.699,172.72,2.9,3.39,0.37,0.45,1.85,0.33,0.68,0.8,13,9,
Mark De La Rosa,31.624657534246577,167.64000000000001,61.23492,165.1,3.13,5.0,0.35,0.48,0.54,0.13,0.4,0.2,11,5,
Mike de la Torre,39.56986301369863,180.34,65.77083999999999,180.34,3.21,4.75,0.39,0.51,0.36,0.16,0.83,0.0,14,7,
Rodrigo de Lima,35.0986301369863,170.18,70.30676,0.0,1.29,5.5,0.33,0.32,2.66,0.36,0.0,1.3,8,3,
Edilberto de Oliveira,43.40547945205479,182.88,77.11064,0.0,4.12,6.79,0.32,0.61,0.0,0.0,0.0,0.0,29,15,
Johil de Oliveira,56.706849315068496,167.64000000000001,77.11064,0.0,0.51,0.73,0.34,0.58,1.1,0.5,0.44,0.6,17,15,
Jorge de Oliveira,46.24109589041096,172.72,70.30676,0.0,1.26,4.84,0.31,0.48,0.0,0.0,0.22,0.0,9,2,
Jair De Oliveira,29.934246575342467,175.26,92.98636,175.26,3.98,3.45,0.6,0.69,0.0,0.0,0.0,0.0,6,1,
Isabela de Padua,34.61643835616438,160.02,56.699,162.56,1.0,2.07,0.35,0.5,2.0,0.66,0.0,1.0,5,2,
Gloria de Paula,30.84931506849315,165.1,52.16308,170.18,4.89,3.77,0.53,0.66,0.74,0.37,0.65,0.5,6,5,
Germaine de Randamie,41.983561643835614,175.26,61.23492,180.34,2.57,2.0,0.46,0.65,0.0,0.0,0.65,0.4,10,5,
Reinier de Ridder,35.608219178082194,193.04,83.91452,198.12,2.47,2.36,0.48,0.46,2.56,0.29,0.4,0.6,21,4,
Crezio de Souza,0.0,0.0,77.11064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,
Carl Deaton,36.394520547945206,170.18,70.30676,175.26,1.53,1.85,0.31,0.61,0.0,0.0,0.5,0.0,17,7,
Tom DeBlass,43.93150684931507,182.88,83.91452,0.0,1.5,4.43,0.35,0.37,1.0,0.5,0.28,0.5,9,2,
Issac DeJesus,0.0,0.0,65.77083999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,7,
Rafael Del Real,0.0,180.34,102.0582,0.0,5.58,0.0,0.4,0.0,20.93,1.0,1.0,0.0,6,20,
Shane del Rosario,42.56986301369863,193.04,113.398,0.0,3.93,2.97,0.6,0.54,1.2,0.4,0.16,2.4,11,2,
Wallen Del Rosario,33.07945205479452,162.56,56.699,170.18,1.4,4.73,0.32,0.4,1.0,0.16,1.0,0.0,8,2,
Yadier del Valle,29.71232876712329,175.26,65.77083999999999,175.26,4.05,2.16,0.6,0.55,1.23,0.42,0.58,2.0,10,1,
Jose Delano,29.59178082191781,172.72,65.77083999999999,177.8,9.73,2.53,0.65,0.72,0.0,0.0,0.6,0.0,16,3,
Humberto DeLeon,36.42739726027397,0.0,61.23492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,
